rad_haplotyper -v FamB.recode.vcf -r reference.fasta -x 35 -d 10 -z 3 -m .5 -g FamB.gen -p FamB.popmap -t FamB.tsv -p1 FamB_FamB-059 -p2 FamB_FamB-194 -e
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
dDocent_Contig_107875	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_107890	7	3	165	172	0.959	PASSED	6	0	1	
dDocent_Contig_10790	2	3	169	172	0.983	PASSED	3	0	0	
dDocent_Contig_10805	6	4	160	172	0.930	PASSED	9	0	3	
dDocent_Contig_10808	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_10816	3	3	160	172	0.930	PASSED	3	1	8	
dDocent_Contig_108196	7	4	164	172	0.953	PASSED	7	0	1	
dDocent_Contig_10820	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_108246	2	3	162	172	0.942	PASSED	10	0	0	
dDocent_Contig_108247	7	4	163	172	0.948	PASSED	4	5	0	
dDocent_Contig_108270	3	3	163	172	0.948	PASSED	3	0	6	
dDocent_Contig_108402	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_108413	2	3	166	172	0.965	PASSED	5	0	1	
dDocent_Contig_108428	5	4	159	172	0.924	PASSED	13	0	0	
dDocent_Contig_108626	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_108674	10	4	164	172	0.953	PASSED	8	0	0	
dDocent_Contig_108675	2	3	170	172	0.988	PASSED	2	0	0	
dDocent_Contig_108676	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_10873	2	2	171	172	0.994	PASSED	0	1	0	
dDocent_Contig_108751	4	4	158	172	0.919	PASSED	2	6	6	
dDocent_Contig_10881	1	2	168	172	0.977	PASSED	0	0	4	
dDocent_Contig_108914	3	3	167	172	0.971	PASSED	5	0	0	
dDocent_Contig_109	3	3	166	172	0.965	PASSED	6	0	0	
dDocent_Contig_109020	12	4	165	172	0.959	PASSED	7	0	0	
dDocent_Contig_10903	2	3	161	172	0.936	PASSED	3	0	8	
dDocent_Contig_109074	2	2	41	172	0.238	FILTERED	0	126	5	Missing data
dDocent_Contig_109084	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_10909	1	2	172	172	1.000	PASSED	0	0	0	
