LOCUS	MATCHLOC
dDocent_Contig_14368	dDocent_Contig_275150
dDocent_Contig_14368	dDocent_Contig_53836
dDocent_Contig_31986	dDocent_Contig_13478
dDocent_Contig_31986	dDocent_Contig_176684
dDocent_Contig_31986	dDocent_Contig_280139
dDocent_Contig_169742	dDocent_Contig_13506
dDocent_Contig_169742	dDocent_Contig_14839
dDocent_Contig_169742	dDocent_Contig_1684
dDocent_Contig_169742	dDocent_Contig_169587
dDocent_Contig_169742	dDocent_Contig_2145
dDocent_Contig_169742	dDocent_Contig_293918
dDocent_Contig_169742	dDocent_Contig_37175
dDocent_Contig_169742	dDocent_Contig_3889
dDocent_Contig_169742	dDocent_Contig_57634
dDocent_Contig_169742	dDocent_Contig_6302
dDocent_Contig_169742	dDocent_Contig_77157
dDocent_Contig_169742	dDocent_Contig_99410
dDocent_Contig_29931	dDocent_Contig_13530
dDocent_Contig_29931	dDocent_Contig_14522
dDocent_Contig_29931	dDocent_Contig_209851
dDocent_Contig_29931	dDocent_Contig_28149
dDocent_Contig_29931	dDocent_Contig_32910
dDocent_Contig_29931	dDocent_Contig_341717
dDocent_Contig_29931	dDocent_Contig_41608
dDocent_Contig_29931	dDocent_Contig_42884
dDocent_Contig_13573	dDocent_Contig_209055
dDocent_Contig_13573	dDocent_Contig_8489
dDocent_Contig_41944	dDocent_Contig_13669
dDocent_Contig_41944	dDocent_Contig_33971
dDocent_Contig_41944	dDocent_Contig_36101
dDocent_Contig_41944	dDocent_Contig_9976
dDocent_Contig_137541	dDocent_Contig_144660
dDocent_Contig_137541	dDocent_Contig_394181
dDocent_Contig_34792	dDocent_Contig_13842
dDocent_Contig_34792	dDocent_Contig_161242
dDocent_Contig_34792	dDocent_Contig_165900
dDocent_Contig_34792	dDocent_Contig_200617
dDocent_Contig_34792	dDocent_Contig_24578
dDocent_Contig_34792	dDocent_Contig_322
dDocent_Contig_34792	dDocent_Contig_34189
dDocent_Contig_34792	dDocent_Contig_56892
dDocent_Contig_21570	dDocent_Contig_13930
dDocent_Contig_21570	dDocent_Contig_63675
dDocent_Contig_21570	dDocent_Contig_65233
dDocent_Contig_14167	dDocent_Contig_21978
dDocent_Contig_1425	dDocent_Contig_86305
dDocent_Contig_163599	dDocent_Contig_142757
dDocent_Contig_163599	dDocent_Contig_26493
dDocent_Contig_163599	dDocent_Contig_27993
dDocent_Contig_163599	dDocent_Contig_356505
dDocent_Contig_163599	dDocent_Contig_4251
dDocent_Contig_163599	dDocent_Contig_72601
dDocent_Contig_96847	dDocent_Contig_14391
dDocent_Contig_96847	dDocent_Contig_298306
dDocent_Contig_15730	dDocent_Contig_14417
dDocent_Contig_15730	dDocent_Contig_57629
dDocent_Contig_6885	dDocent_Contig_14449
dDocent_Contig_6885	dDocent_Contig_164283
dDocent_Contig_6885	dDocent_Contig_29969
dDocent_Contig_6885	dDocent_Contig_306378
dDocent_Contig_6885	dDocent_Contig_3390
dDocent_Contig_6885	dDocent_Contig_8452
dDocent_Contig_14784	dDocent_Contig_14591
dDocent_Contig_14784	dDocent_Contig_190271
dDocent_Contig_14784	dDocent_Contig_22610
dDocent_Contig_14784	dDocent_Contig_296916
dDocent_Contig_14784	dDocent_Contig_40650
dDocent_Contig_14784	dDocent_Contig_60817
dDocent_Contig_14784	dDocent_Contig_84389
dDocent_Contig_14784	dDocent_Contig_9265
dDocent_Contig_30202	dDocent_Contig_14595
dDocent_Contig_30202	dDocent_Contig_17041
dDocent_Contig_30202	dDocent_Contig_18098
dDocent_Contig_30202	dDocent_Contig_230035
dDocent_Contig_30202	dDocent_Contig_26495
dDocent_Contig_30202	dDocent_Contig_29858
dDocent_Contig_30202	dDocent_Contig_3782
dDocent_Contig_43426	dDocent_Contig_14675
dDocent_Contig_43426	dDocent_Contig_222349
dDocent_Contig_43426	dDocent_Contig_44482
dDocent_Contig_97663	dDocent_Contig_14848
dDocent_Contig_97663	dDocent_Contig_213918
dDocent_Contig_97663	dDocent_Contig_87874
dDocent_Contig_14866	dDocent_Contig_73477
dDocent_Contig_326641	dDocent_Contig_14875
dDocent_Contig_326641	dDocent_Contig_17168
dDocent_Contig_326641	dDocent_Contig_2305
dDocent_Contig_326641	dDocent_Contig_232983
dDocent_Contig_326641	dDocent_Contig_342473
dDocent_Contig_326641	dDocent_Contig_60276
dDocent_Contig_37671	dDocent_Contig_149363
dDocent_Contig_37671	dDocent_Contig_20310
dDocent_Contig_37671	dDocent_Contig_26199
dDocent_Contig_37671	dDocent_Contig_327
dDocent_Contig_37671	dDocent_Contig_63722
dDocent_Contig_8427	dDocent_Contig_149762
dDocent_Contig_8427	dDocent_Contig_156439
dDocent_Contig_8427	dDocent_Contig_16476
dDocent_Contig_8427	dDocent_Contig_208497
dDocent_Contig_8427	dDocent_Contig_242541
dDocent_Contig_8427	dDocent_Contig_279649
dDocent_Contig_8427	dDocent_Contig_3315
dDocent_Contig_8427	dDocent_Contig_35592
dDocent_Contig_8427	dDocent_Contig_40296
dDocent_Contig_8427	dDocent_Contig_55476
dDocent_Contig_8427	dDocent_Contig_65678
dDocent_Contig_8427	dDocent_Contig_8979
dDocent_Contig_8427	dDocent_Contig_9145
dDocent_Contig_8427	dDocent_Contig_9535
dDocent_Contig_1537	dDocent_Contig_70673
dDocent_Contig_154055	dDocent_Contig_393412
dDocent_Contig_154055	dDocent_Contig_39533
dDocent_Contig_16492	dDocent_Contig_45043
dDocent_Contig_179567	dDocent_Contig_169675
dDocent_Contig_179567	dDocent_Contig_228442
dDocent_Contig_179567	dDocent_Contig_25808
dDocent_Contig_179567	dDocent_Contig_37463
dDocent_Contig_1724	dDocent_Contig_33824
dDocent_Contig_17277	dDocent_Contig_21556
dDocent_Contig_355463	dDocent_Contig_17712
dDocent_Contig_26394	dDocent_Contig_182167
dDocent_Contig_26394	dDocent_Contig_240233
dDocent_Contig_26394	dDocent_Contig_392531
dDocent_Contig_26394	dDocent_Contig_394281
dDocent_Contig_26394	dDocent_Contig_5360
dDocent_Contig_26394	dDocent_Contig_5697
dDocent_Contig_26394	dDocent_Contig_91792
dDocent_Contig_44930	dDocent_Contig_187344
dDocent_Contig_31144	dDocent_Contig_193822
dDocent_Contig_83754	dDocent_Contig_195456
dDocent_Contig_19843	dDocent_Contig_52549
dDocent_Contig_199619	dDocent_Contig_57603
dDocent_Contig_6257	dDocent_Contig_206752
dDocent_Contig_20685	dDocent_Contig_396511
dDocent_Contig_4221	dDocent_Contig_21467
dDocent_Contig_4221	dDocent_Contig_38379
dDocent_Contig_4221	dDocent_Contig_95624
dDocent_Contig_54778	dDocent_Contig_21480
dDocent_Contig_54778	dDocent_Contig_5889
dDocent_Contig_2152	dDocent_Contig_28930
dDocent_Contig_42394	dDocent_Contig_233503
dDocent_Contig_23649	dDocent_Contig_25202
dDocent_Contig_23649	dDocent_Contig_377178
dDocent_Contig_23649	dDocent_Contig_38257
dDocent_Contig_23649	dDocent_Contig_88151
dDocent_Contig_80895	dDocent_Contig_243672
dDocent_Contig_40726	dDocent_Contig_24740
dDocent_Contig_7014	dDocent_Contig_24905
dDocent_Contig_7014	dDocent_Contig_42
dDocent_Contig_7014	dDocent_Contig_5563
dDocent_Contig_7014	dDocent_Contig_7724
dDocent_Contig_7014	dDocent_Contig_99714
dDocent_Contig_56244	dDocent_Contig_250683
dDocent_Contig_25110	dDocent_Contig_5435
dDocent_Contig_251179	dDocent_Contig_39883
