LOCUS	MATCHLOC
dDocent_Contig_349199	dDocent_Contig_160256
dDocent_Contig_16230	dDocent_Contig_9113
dDocent_Contig_169586	dDocent_Contig_16603
dDocent_Contig_168998	dDocent_Contig_167474
dDocent_Contig_168998	dDocent_Contig_168666
dDocent_Contig_168998	dDocent_Contig_21467
dDocent_Contig_168998	dDocent_Contig_3226
dDocent_Contig_93574	dDocent_Contig_16787
dDocent_Contig_167913	dDocent_Contig_20908
dDocent_Contig_167913	dDocent_Contig_21841
dDocent_Contig_167913	dDocent_Contig_322069
dDocent_Contig_19137	dDocent_Contig_16839
dDocent_Contig_271220	dDocent_Contig_169675
dDocent_Contig_172365	dDocent_Contig_54366
dDocent_Contig_17771	dDocent_Contig_19641
dDocent_Contig_17771	dDocent_Contig_30202
dDocent_Contig_17771	dDocent_Contig_35440
dDocent_Contig_17771	dDocent_Contig_45537
dDocent_Contig_17771	dDocent_Contig_5314
dDocent_Contig_17771	dDocent_Contig_59297
dDocent_Contig_34764	dDocent_Contig_189194
dDocent_Contig_34764	dDocent_Contig_69341
dDocent_Contig_2315	dDocent_Contig_189213
dDocent_Contig_2315	dDocent_Contig_6638
dDocent_Contig_19091	dDocent_Contig_189819
dDocent_Contig_213871	dDocent_Contig_199627
dDocent_Contig_96081	dDocent_Contig_202451
dDocent_Contig_20664	dDocent_Contig_269043
dDocent_Contig_20664	dDocent_Contig_313224
dDocent_Contig_20664	dDocent_Contig_4414
dDocent_Contig_42205	dDocent_Contig_215355
dDocent_Contig_42205	dDocent_Contig_24774
dDocent_Contig_42205	dDocent_Contig_2597
dDocent_Contig_42205	dDocent_Contig_33552
dDocent_Contig_32099	dDocent_Contig_218579
dDocent_Contig_32099	dDocent_Contig_82487
dDocent_Contig_43813	dDocent_Contig_23445
dDocent_Contig_2785	dDocent_Contig_58669
dDocent_Contig_28644	dDocent_Contig_43426
dDocent_Contig_71199	dDocent_Contig_288155
dDocent_Contig_300492	dDocent_Contig_329651
dDocent_Contig_314714	dDocent_Contig_7198
dDocent_Contig_32568	dDocent_Contig_4919
dDocent_Contig_32901	dDocent_Contig_8649
dDocent_Contig_33361	dDocent_Contig_390761
dDocent_Contig_349127	dDocent_Contig_36882
dDocent_Contig_369547	dDocent_Contig_52
dDocent_Contig_37112	dDocent_Contig_49287
dDocent_Contig_3817	dDocent_Contig_79022
dDocent_Contig_388381	dDocent_Contig_43640
dDocent_Contig_61920	dDocent_Contig_406
dDocent_Contig_61920	dDocent_Contig_55476
dDocent_Contig_61920	dDocent_Contig_8800
dDocent_Contig_93946	dDocent_Contig_52100
dDocent_Contig_5320	dDocent_Contig_73723
dDocent_Contig_54748	dDocent_Contig_6127
dDocent_Contig_64895	dDocent_Contig_85212
dDocent_Contig_69473	dDocent_Contig_9844
dDocent_Contig_9648	dDocent_Contig_73951
dDocent_Contig_9648	dDocent_Contig_94580
dDocent_Contig_85247	dDocent_Contig_81526
