LOCUS	MATCHLOC
dDocent_Contig_131536	dDocent_Contig_3967
dDocent_Contig_8591	dDocent_Contig_131719
dDocent_Contig_8591	dDocent_Contig_20666
dDocent_Contig_8591	dDocent_Contig_22395
dDocent_Contig_8591	dDocent_Contig_240090
dDocent_Contig_8591	dDocent_Contig_29779
dDocent_Contig_8591	dDocent_Contig_3106
dDocent_Contig_8591	dDocent_Contig_33824
dDocent_Contig_8591	dDocent_Contig_47122
dDocent_Contig_17401	dDocent_Contig_13271
dDocent_Contig_1328	dDocent_Contig_9844
dDocent_Contig_99410	dDocent_Contig_13506
dDocent_Contig_54778	dDocent_Contig_13508
dDocent_Contig_13530	dDocent_Contig_14522
dDocent_Contig_13530	dDocent_Contig_23445
dDocent_Contig_13530	dDocent_Contig_41608
dDocent_Contig_13530	dDocent_Contig_50994
dDocent_Contig_13530	dDocent_Contig_65087
dDocent_Contig_136639	dDocent_Contig_45297
dDocent_Contig_137541	dDocent_Contig_367430
dDocent_Contig_138223	dDocent_Contig_17020
dDocent_Contig_138223	dDocent_Contig_60730
dDocent_Contig_15730	dDocent_Contig_13930
dDocent_Contig_200224	dDocent_Contig_13931
dDocent_Contig_200224	dDocent_Contig_8508
dDocent_Contig_394281	dDocent_Contig_1403
dDocent_Contig_73477	dDocent_Contig_141300
dDocent_Contig_73477	dDocent_Contig_1512
dDocent_Contig_73477	dDocent_Contig_3380
dDocent_Contig_73477	dDocent_Contig_77680
dDocent_Contig_73477	dDocent_Contig_93946
dDocent_Contig_73477	dDocent_Contig_97611
dDocent_Contig_66164	dDocent_Contig_143868
dDocent_Contig_66164	dDocent_Contig_6004
dDocent_Contig_66164	dDocent_Contig_75804
dDocent_Contig_66164	dDocent_Contig_78059
dDocent_Contig_143960	dDocent_Contig_273405
dDocent_Contig_144097	dDocent_Contig_1897
dDocent_Contig_144097	dDocent_Contig_32522
dDocent_Contig_80895	dDocent_Contig_1452
dDocent_Contig_80895	dDocent_Contig_20821
dDocent_Contig_80895	dDocent_Contig_223621
dDocent_Contig_80895	dDocent_Contig_31126
dDocent_Contig_27794	dDocent_Contig_14591
dDocent_Contig_14839	dDocent_Contig_35439
dDocent_Contig_27570	dDocent_Contig_14866
dDocent_Contig_27570	dDocent_Contig_155556
dDocent_Contig_27570	dDocent_Contig_159850
dDocent_Contig_27570	dDocent_Contig_165344
dDocent_Contig_27570	dDocent_Contig_189931
dDocent_Contig_27570	dDocent_Contig_219112
dDocent_Contig_27570	dDocent_Contig_2691
dDocent_Contig_27570	dDocent_Contig_343391
dDocent_Contig_27570	dDocent_Contig_36829
dDocent_Contig_27570	dDocent_Contig_43065
dDocent_Contig_27570	dDocent_Contig_71529
dDocent_Contig_172576	dDocent_Contig_149503
dDocent_Contig_172576	dDocent_Contig_21940
dDocent_Contig_172576	dDocent_Contig_23714
dDocent_Contig_172576	dDocent_Contig_25996
dDocent_Contig_172576	dDocent_Contig_26733
dDocent_Contig_150190	dDocent_Contig_23555
dDocent_Contig_1531	dDocent_Contig_156883
dDocent_Contig_96441	dDocent_Contig_1533
dDocent_Contig_96441	dDocent_Contig_61319
dDocent_Contig_96441	dDocent_Contig_82292
dDocent_Contig_15429	dDocent_Contig_7845
dDocent_Contig_22103	dDocent_Contig_15637
dDocent_Contig_22103	dDocent_Contig_2829
dDocent_Contig_2225	dDocent_Contig_157701
dDocent_Contig_2225	dDocent_Contig_17365
dDocent_Contig_2225	dDocent_Contig_35702
