"LOCUS" "LG_F" "POS_F" "LG_M" "POS_M"
"124" "dDocent_Contig_14240" 8 4.04974209026668 18 14.8409137382843
"125" "dDocent_Contig_185112" 8 4.04974219026668 18 2.60289314074409
"126" "dDocent_Contig_316810" 19 4.07351687380473 23 49.8716139333276
"127" "dDocent_Contig_137371" 19 4.07351697380473 NA NA
"128" "dDocent_Contig_15309" 19 4.07351707380473 23 49.8716138333276
"129" "dDocent_Contig_112677" 20 4.11493724747333 5 50.8450801887518
"130" "dDocent_Contig_21444" 3 4.22742407427326 NA NA
"131" "dDocent_Contig_116123" 23 4.2822652194378 16 12.0787209456968
"132" "dDocent_Contig_57396" 23 4.2822653194378 NA NA
"133" "dDocent_Contig_81415" 23 4.28226541943781 16 3.92709049863947
"134" "dDocent_Contig_291878" 23 4.28226551943781 16 10.5037064626951
"135" "dDocent_Contig_414" 23 4.28226561943781 16 48.2818441707495
"136" "dDocent_Contig_107013" 23 4.28226571943781 16 51.6471977068672
"137" "dDocent_Contig_56322" 23 4.28226581943782 16 47.610566371075
"138" "dDocent_Contig_9980" 23 4.28226591943782 16 4.59300213094948
"139" "dDocent_Contig_1092" 23 4.28226591943782 16 13.4205321893435
"140" "dDocent_Contig_12068" 23 4.28226591943782 NA NA
"141" "dDocent_Contig_16344" 23 4.28226591943782 NA NA
"142" "dDocent_Contig_165225" 23 4.28226591943782 NA NA
"143" "dDocent_Contig_319005" 23 4.28226591943782 NA NA
"144" "dDocent_Contig_46150" 23 4.28226591943782 NA NA
"145" "dDocent_Contig_52478" 23 4.28226591943782 NA NA
"146" "dDocent_Contig_58685" 23 4.28226591943782 16 49.6242423366394
"147" "dDocent_Contig_169192" 23 4.28226601943782 NA NA
"148" "dDocent_Contig_330230" 23 4.28226611943782 16 11.4075698928324
"149" "dDocent_Contig_4533" 23 4.28226621943783 16 11.4075699928324
"150" "dDocent_Contig_88058" 23 4.28226631943783 16 12.0787208456968
"151" "dDocent_Contig_7405" 23 4.28226641943783 16 14.7729449484965
"152" "dDocent_Contig_3410" 23 4.28226651943784 16 48.9530912204509
"153" "dDocent_Contig_3967" 22 4.57034727125249 NA NA
"154" "dDocent_Contig_54298" 9 4.66291938857284 7 61.0357800758009
"155" "dDocent_Contig_96731" 18 4.70843932909592 14 133.128642761599
"156" "dDocent_Contig_173886" 18 4.70843942909592 NA NA
"157" "dDocent_Contig_209827" 8 4.71033912679624 18 5.59602456694223
"158" "dDocent_Contig_286498" 8 4.71033922679625 NA NA
"159" "dDocent_Contig_252953" 10 4.71548548426675 NA NA
"160" "dDocent_Contig_52370" 10 4.71548558426675 8 45.6172932300283
"161" "dDocent_Contig_17882" 1 4.8052455424875 2 46.9493611940781
"162" "dDocent_Contig_10286" 20 4.80820500214645 NA NA
"163" "dDocent_Contig_9487" 9 5.33792406089175 NA NA
"164" "dDocent_Contig_93574" 8 5.37093617233237 18 18.2921397560265
"165" "dDocent_Contig_16787" 8 5.37093617233237 NA NA
"166" "dDocent_Contig_1101" 8 5.37093627233237 18 37.9213027342536
"167" "dDocent_Contig_17771" 8 5.37093637233237 NA NA
"168" "dDocent_Contig_19641" 8 5.37093637233237 18 10.7478402983048
"169" "dDocent_Contig_30202" 8 5.37093637233237 NA NA
"170" "dDocent_Contig_35440" 8 5.37093637233237 NA NA
"171" "dDocent_Contig_45537" 8 5.37093637233237 NA NA
"172" "dDocent_Contig_5314" 8 5.37093637233237 18 1.2513335858675
"173" "dDocent_Contig_59297" 8 5.37093637233237 NA NA
"174" "dDocent_Contig_138625" 8 5.37093647233238 NA NA
"175" "dDocent_Contig_56197" 8 5.37093657233238 18 33.8549519505199
"176" "dDocent_Contig_261619" 8 5.37093667233238 NA NA
"177" "dDocent_Contig_129" 8 5.37093677233238 18 21.6758886538005
"178" "dDocent_Contig_342473" 8 5.37093687233239 18 12.1002365309623
"179" "dDocent_Contig_62735" 8 5.37093697233239 18 12.1002364309623
"180" "dDocent_Contig_53782" 8 5.37093707233239 18 14.8409138382843
"181" "dDocent_Contig_2305" 8 5.3709371723324 18 3.95447667050998
"182" "dDocent_Contig_35934" 12 5.37212437506308 3 5.22617761540297
"183" "dDocent_Contig_318195" 12 5.37212447506308 3 5.89732923634446
"184" "dDocent_Contig_6993" 12 5.37212457506308 3 5.89732913634446
"185" "dDocent_Contig_97990" 2 5.57975875259416 1 66.3300183785931
"186" "dDocent_Contig_131796" 2 5.57975885259416 1 6.0906145079561
"187" "dDocent_Contig_67538" 2 5.57975895259416 1 58.092341135491
"188" "dDocent_Contig_20605" 2 5.57975905259416 1 4.06802961169139
"189" "dDocent_Contig_104875" 2 5.57975915259417 1 3.39678241551738
"190" "dDocent_Contig_230503" 2 5.57975925259417 1 2.72553565350447
"191" "dDocent_Contig_4163" 2 5.57975935259417 1 2.72553555350447
"192" "dDocent_Contig_247566" 2 5.57975945259418 1 66.3300184785931
"193" "dDocent_Contig_3906" 2 5.57975955259418 1 1.24213502748899
"194" "dDocent_Contig_103632" 2 5.57975955259418 1 67.6809654222104
"195" "dDocent_Contig_160109" 2 5.57975955259418 1 13.6012657103941
"196" "dDocent_Contig_224972" 2 5.57975955259418 1 4.06802971169139
"197" "dDocent_Contig_27754" 2 5.57975955259418 1 31.9063454514451
"198" "dDocent_Contig_28276" 2 5.57975955259418 1 84.1228390299513
"199" "dDocent_Contig_2842" 2 5.57975955259418 NA NA
"200" "dDocent_Contig_37125" 2 5.57975955259418 1 0.571050882918066
"201" "dDocent_Contig_4379" 2 5.57975955259418 1 0.571051282918077
"202" "dDocent_Contig_75983" 2 5.57975955259418 NA NA
"203" "dDocent_Contig_99894" 2 5.57975965259418 1 5.41946319190692
"204" "dDocent_Contig_23649" 2 5.57975975259418 1 19.2499125160852
"205" "dDocent_Contig_19294" 2 5.57975985259419 1 10.8950502386258
"206" "dDocent_Contig_325432" 2 5.57975995259419 1 26.4144071940221
"207" "dDocent_Contig_2867" 2 5.57976005259419 1 11.5622720125846
"208" "dDocent_Contig_14719" 2 5.5797601525942 1 0.571051082918072
